"","Passenger.Name","Passenger.Sex","Passsenger.Age","Passenger.Survived","Passenger.Class"
"751","Danoff, Mr. Yoto","Male",27,"NO","3rd Class"
"752","Dantcheff, Mr. Ristiu","Male",25,"NO","3rd Class"
"753","Davies, Mr. Alfred J","Male",24,"NO","3rd Class"
"754","Davies, Mr. Evan","Male",22,"NO","3rd Class"
"755","Davies, Mr. John Samuel","Male",21,"NO","3rd Class"
"756","Davies, Mr. Joseph","Male",17,"NO","3rd Class"
"757","Davison, Mr. Thomas Henry","Male",NA,"NO","3rd Class"
"758","Davison, Mrs. Thomas Henry (Mary E Finck)","Female",NA,"YES","3rd Class"
"759","de Messemaeker, Mr. Guillaume Joseph","Male",36,"YES","3rd Class"
"760","de Messemaeker, Mrs. Guillaume Joseph (Emma)","Female",36,"YES","3rd Class"
"761","de Mulder, Mr. Theodore","Male",30,"YES","3rd Class"
"762","de Pelsmaeker, Mr. Alfons","Male",16,"NO","3rd Class"
"763","Dean, Master. Bertram Vere","Male",1,"YES","3rd Class"
"764","Dean, Miss. Elizabeth Gladys ""Millvina""","Female",0,"YES","3rd Class"
"765","Dean, Mr. Bertram Frank","Male",26,"NO","3rd Class"
"766","Dean, Mrs. Bertram (Eva Georgetta Light)","Female",33,"YES","3rd Class"
"767","Delalic, Mr. Redjo","Male",25,"NO","3rd Class"
"768","Demetri, Mr. Marinko","Male",NA,"NO","3rd Class"
"769","Denkoff, Mr. Mitto","Male",NA,"NO","3rd Class"
"770","Dennis, Mr. Samuel","Male",22,"NO","3rd Class"
"771","Dennis, Mr. William","Male",36,"NO","3rd Class"
"772","Devaney, Miss. Margaret Delia","Female",19,"YES","3rd Class"
"773","Dika, Mr. Mirko","Male",17,"NO","3rd Class"
"774","Dimic, Mr. Jovan","Male",42,"NO","3rd Class"
"775","Dintcheff, Mr. Valtcho","Male",43,"NO","3rd Class"
"776","Doharr, Mr. Tannous","Male",NA,"NO","3rd Class"
"777","Dooley, Mr. Patrick","Male",32,"NO","3rd Class"
"778","Dorking, Mr. Edward Arthur","Male",19,"YES","3rd Class"
"779","Dowdell, Miss. Elizabeth","Female",30,"YES","3rd Class"
"780","Doyle, Miss. Elizabeth","Female",24,"NO","3rd Class"
"781","Drapkin, Miss. Jennie","Female",23,"YES","3rd Class"
"782","Drazenoic, Mr. Jozef","Male",33,"NO","3rd Class"
"783","Duane, Mr. Frank","Male",65,"NO","3rd Class"
"784","Duquemin, Mr. Joseph","Male",24,"YES","3rd Class"
"785","Dyker, Mr. Adolf Fredrik","Male",23,"NO","3rd Class"
"786","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)","Female",22,"YES","3rd Class"
"787","Edvardsson, Mr. Gustaf Hjalmar","Male",18,"NO","3rd Class"
"788","Eklund, Mr. Hans Linus","Male",16,"NO","3rd Class"
"789","Ekstrom, Mr. Johan","Male",45,"NO","3rd Class"
"790","Elias, Mr. Dibo","Male",NA,"NO","3rd Class"
"791","Elias, Mr. Joseph","Male",39,"NO","3rd Class"
"792","Elias, Mr. Joseph Jr","Male",17,"NO","3rd Class"
"793","Elias, Mr. Tannous","Male",15,"NO","3rd Class"
"794","Elsbury, Mr. William James","Male",47,"NO","3rd Class"
"795","Emanuel, Miss. Virginia Ethel","Female",5,"YES","3rd Class"
"796","Emir, Mr. Farred Chehab","Male",NA,"NO","3rd Class"
"797","Everett, Mr. Thomas James","Male",40,"NO","3rd Class"
"798","Farrell, Mr. James","Male",40,"NO","3rd Class"
"799","Finoli, Mr. Luigi","Male",NA,"YES","3rd Class"
"800","Fischer, Mr. Eberhard Thelander","Male",18,"NO","3rd Class"
"801","Fleming, Miss. Honora","Female",NA,"NO","3rd Class"
"802","Flynn, Mr. James","Male",NA,"NO","3rd Class"
"803","Flynn, Mr. John","Male",NA,"NO","3rd Class"
"804","Foley, Mr. Joseph","Male",26,"NO","3rd Class"
"805","Foley, Mr. William","Male",NA,"NO","3rd Class"
"806","Foo, Mr. Choong","Male",NA,"YES","3rd Class"
"807","Ford, Miss. Doolina Margaret ""Daisy""","Female",21,"NO","3rd Class"
"808","Ford, Miss. Robina Maggie ""Ruby""","Female",9,"NO","3rd Class"
"809","Ford, Mr. Arthur","Male",NA,"NO","3rd Class"
"810","Ford, Mr. Edward Watson","Male",18,"NO","3rd Class"
"811","Ford, Mr. William Neal","Male",16,"NO","3rd Class"
"812","Ford, Mrs. Edward (Margaret Ann Watson)","Female",48,"NO","3rd Class"
"813","Fox, Mr. Patrick","Male",NA,"NO","3rd Class"
"814","Franklin, Mr. Charles (Charles Fardon)","Male",NA,"NO","3rd Class"
"815","Gallagher, Mr. Martin","Male",25,"NO","3rd Class"
"816","Garfirth, Mr. John","Male",NA,"NO","3rd Class"
"817","Gheorgheff, Mr. Stanio","Male",NA,"NO","3rd Class"
"818","Gilinski, Mr. Eliezer","Male",22,"NO","3rd Class"
"819","Gilnagh, Miss. Katherine ""Katie""","Female",16,"YES","3rd Class"
"820","Glynn, Miss. Mary Agatha","Female",NA,"YES","3rd Class"
"821","Goldsmith, Master. Frank John William ""Frankie""","Male",9,"YES","3rd Class"
"822","Goldsmith, Mr. Frank John","Male",33,"NO","3rd Class"
"823","Goldsmith, Mr. Nathan","Male",41,"NO","3rd Class"
"824","Goldsmith, Mrs. Frank John (Emily Alice Brown)","Female",31,"YES","3rd Class"
"825","Goncalves, Mr. Manuel Estanslas","Male",38,"NO","3rd Class"
"826","Goodwin, Master. Harold Victor","Male",9,"NO","3rd Class"
"827","Goodwin, Master. Sidney Leonard","Male",1,"NO","3rd Class"
"828","Goodwin, Master. William Frederick","Male",11,"NO","3rd Class"
"829","Goodwin, Miss. Jessie Allis","Female",10,"NO","3rd Class"
"830","Goodwin, Miss. Lillian Amy","Female",16,"NO","3rd Class"
"831","Goodwin, Mr. Charles Edward","Male",14,"NO","3rd Class"
"832","Goodwin, Mr. Charles Frederick","Male",40,"NO","3rd Class"
"833","Goodwin, Mrs. Frederick (Augusta Tyler)","Female",43,"NO","3rd Class"
"834","Green, Mr. George Henry","Male",51,"NO","3rd Class"
"835","Gronnestad, Mr. Daniel Danielsen","Male",32,"NO","3rd Class"
"836","Guest, Mr. Robert","Male",NA,"NO","3rd Class"
"837","Gustafsson, Mr. Alfred Ossian","Male",20,"NO","3rd Class"
"838","Gustafsson, Mr. Anders Vilhelm","Male",37,"NO","3rd Class"
"839","Gustafsson, Mr. Johan Birger","Male",28,"NO","3rd Class"
"840","Gustafsson, Mr. Karl Gideon","Male",19,"NO","3rd Class"
"841","Haas, Miss. Aloisia","Female",24,"NO","3rd Class"
"842","Hagardon, Miss. Kate","Female",17,"NO","3rd Class"
"843","Hagland, Mr. Ingvald Olai Olsen","Male",NA,"NO","3rd Class"
"844","Hagland, Mr. Konrad Mathias Reiersen","Male",NA,"NO","3rd Class"
"845","Hakkarainen, Mr. Pekka Pietari","Male",28,"NO","3rd Class"
"846","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","Female",24,"YES","3rd Class"
"847","Hampe, Mr. Leon","Male",20,"NO","3rd Class"
"848","Hanna, Mr. Mansour","Male",23,"NO","3rd Class"
"849","Hansen, Mr. Claus Peter","Male",41,"NO","3rd Class"
"850","Hansen, Mr. Henrik Juul","Male",26,"NO","3rd Class"
"851","Hansen, Mr. Henry Damsgaard","Male",21,"NO","3rd Class"
"852","Hansen, Mrs. Claus Peter (Jennie L Howard)","Female",45,"YES","3rd Class"
"853","Harknett, Miss. Alice Phoebe","Female",NA,"NO","3rd Class"
"854","Harmer, Mr. Abraham (David Lishin)","Male",25,"NO","3rd Class"
"855","Hart, Mr. Henry","Male",NA,"NO","3rd Class"
"856","Hassan, Mr. Houssein G N","Male",11,"NO","3rd Class"
"857","Healy, Miss. Hanora ""Nora""","Female",NA,"YES","3rd Class"
"858","Hedman, Mr. Oskar Arvid","Male",27,"YES","3rd Class"
"859","Hee, Mr. Ling","Male",NA,"YES","3rd Class"
"860","Hegarty, Miss. Hanora ""Nora""","Female",18,"NO","3rd Class"
"861","Heikkinen, Miss. Laina","Female",26,"YES","3rd Class"
"862","Heininen, Miss. Wendla Maria","Female",23,"NO","3rd Class"
"863","Hellstrom, Miss. Hilda Maria","Female",22,"YES","3rd Class"
"864","Hendekovic, Mr. Ignjac","Male",28,"NO","3rd Class"
"865","Henriksson, Miss. Jenny Lovisa","Female",28,"NO","3rd Class"
"866","Henry, Miss. Delia","Female",NA,"NO","3rd Class"
"867","Hirvonen, Miss. Hildur E","Female",2,"YES","3rd Class"
"868","Hirvonen, Mrs. Alexander (Helga E Lindqvist)","Female",22,"YES","3rd Class"
"869","Holm, Mr. John Fredrik Alexander","Male",43,"NO","3rd Class"
"870","Holthen, Mr. Johan Martin","Male",28,"NO","3rd Class"
"871","Honkanen, Miss. Eliina","Female",27,"YES","3rd Class"
"872","Horgan, Mr. John","Male",NA,"NO","3rd Class"
"873","Howard, Miss. May Elizabeth","Female",NA,"YES","3rd Class"
"874","Humblen, Mr. Adolf Mathias Nicolai Olsen","Male",42,"NO","3rd Class"
"875","Hyman, Mr. Abraham","Male",NA,"YES","3rd Class"
"876","Ibrahim Shawah, Mr. Yousseff","Male",30,"NO","3rd Class"
"877","Ilieff, Mr. Ylio","Male",NA,"NO","3rd Class"
"878","Ilmakangas, Miss. Ida Livija","Female",27,"NO","3rd Class"
"879","Ilmakangas, Miss. Pieta Sofia","Female",25,"NO","3rd Class"
"880","Ivanoff, Mr. Kanio","Male",NA,"NO","3rd Class"
"881","Jalsevac, Mr. Ivan","Male",29,"YES","3rd Class"
"882","Jansson, Mr. Carl Olof","Male",21,"YES","3rd Class"
"883","Jardin, Mr. Jose Neto","Male",NA,"NO","3rd Class"
"884","Jensen, Mr. Hans Peder","Male",20,"NO","3rd Class"
"885","Jensen, Mr. Niels Peder","Male",48,"NO","3rd Class"
"886","Jensen, Mr. Svend Lauritz","Male",17,"NO","3rd Class"
"887","Jermyn, Miss. Annie","Female",NA,"YES","3rd Class"
"888","Johannesen-Bratthammer, Mr. Bernt","Male",NA,"YES","3rd Class"
"889","Johanson, Mr. Jakob Alfred","Male",34,"NO","3rd Class"
"890","Johansson Palmquist, Mr. Oskar Leander","Male",26,"YES","3rd Class"
"891","Johansson, Mr. Erik","Male",22,"NO","3rd Class"
"892","Johansson, Mr. Gustaf Joel","Male",33,"NO","3rd Class"
"893","Johansson, Mr. Karl Johan","Male",31,"NO","3rd Class"
"894","Johansson, Mr. Nils","Male",29,"NO","3rd Class"
"895","Johnson, Master. Harold Theodor","Male",4,"YES","3rd Class"
"896","Johnson, Miss. Eleanor Ileen","Female",1,"YES","3rd Class"
"897","Johnson, Mr. Alfred","Male",49,"NO","3rd Class"
"898","Johnson, Mr. Malkolm Joackim","Male",33,"NO","3rd Class"
"899","Johnson, Mr. William Cahoone Jr","Male",19,"NO","3rd Class"
"900","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","Female",27,"YES","3rd Class"
"901","Johnston, Master. William Arthur ""Willie""","Male",NA,"NO","3rd Class"
"902","Johnston, Miss. Catherine Helen ""Carrie""","Female",NA,"NO","3rd Class"
"903","Johnston, Mr. Andrew G","Male",NA,"NO","3rd Class"
"904","Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)","Female",NA,"NO","3rd Class"
"905","Jonkoff, Mr. Lalio","Male",23,"NO","3rd Class"
"906","Jonsson, Mr. Carl","Male",32,"YES","3rd Class"
"907","Jonsson, Mr. Nils Hilding","Male",27,"NO","3rd Class"
"908","Jussila, Miss. Katriina","Female",20,"NO","3rd Class"
"909","Jussila, Miss. Mari Aina","Female",21,"NO","3rd Class"
"910","Jussila, Mr. Eiriik","Male",32,"YES","3rd Class"
"911","Kallio, Mr. Nikolai Erland","Male",17,"NO","3rd Class"
"912","Kalvik, Mr. Johannes Halvorsen","Male",21,"NO","3rd Class"
"913","Karaic, Mr. Milan","Male",30,"NO","3rd Class"
"914","Karlsson, Mr. Einar Gervasius","Male",21,"YES","3rd Class"
"915","Karlsson, Mr. Julius Konrad Eugen","Male",33,"NO","3rd Class"
"916","Karlsson, Mr. Nils August","Male",22,"NO","3rd Class"
"917","Karun, Miss. Manca","Female",4,"YES","3rd Class"
"918","Karun, Mr. Franz","Male",39,"YES","3rd Class"
"919","Kassem, Mr. Fared","Male",NA,"NO","3rd Class"
"920","Katavelas, Mr. Vassilios (""Catavelas Vassilios"")","Male",18,"NO","3rd Class"
"921","Keane, Mr. Andrew ""Andy""","Male",NA,"NO","3rd Class"
"922","Keefe, Mr. Arthur","Male",NA,"NO","3rd Class"
"923","Kelly, Miss. Anna Katherine ""Annie Kate""","Female",NA,"YES","3rd Class"
"924","Kelly, Miss. Mary","Female",NA,"YES","3rd Class"
"925","Kelly, Mr. James","Male",34,"NO","3rd Class"
"926","Kelly, Mr. James","Male",44,"NO","3rd Class"
"927","Kennedy, Mr. John","Male",NA,"YES","3rd Class"
"928","Khalil, Mr. Betros","Male",NA,"NO","3rd Class"
"929","Khalil, Mrs. Betros (Zahie ""Maria"" Elias)","Female",NA,"NO","3rd Class"
"930","Kiernan, Mr. John","Male",NA,"NO","3rd Class"
"931","Kiernan, Mr. Philip","Male",NA,"NO","3rd Class"
"932","Kilgannon, Mr. Thomas J","Male",NA,"NO","3rd Class"
"933","Kink, Miss. Maria","Female",22,"NO","3rd Class"
"934","Kink, Mr. Vincenz","Male",26,"NO","3rd Class"
"935","Kink-Heilmann, Miss. Luise Gretchen","Female",4,"YES","3rd Class"
"936","Kink-Heilmann, Mr. Anton","Male",29,"YES","3rd Class"
"937","Kink-Heilmann, Mrs. Anton (Luise Heilmann)","Female",26,"YES","3rd Class"
"938","Klasen, Miss. Gertrud Emilia","Female",1,"NO","3rd Class"
"939","Klasen, Mr. Klas Albin","Male",18,"NO","3rd Class"
"940","Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)","Female",36,"NO","3rd Class"
"941","Kraeff, Mr. Theodor","Male",NA,"NO","3rd Class"
"942","Krekorian, Mr. Neshan","Male",25,"YES","3rd Class"
"943","Lahoud, Mr. Sarkis","Male",NA,"NO","3rd Class"
"944","Laitinen, Miss. Kristina Sofia","Female",37,"NO","3rd Class"
"945","Laleff, Mr. Kristo","Male",NA,"NO","3rd Class"
"946","Lam, Mr. Ali","Male",NA,"YES","3rd Class"
"947","Lam, Mr. Len","Male",NA,"NO","3rd Class"
"948","Landergren, Miss. Aurora Adelia","Female",22,"YES","3rd Class"
"949","Lane, Mr. Patrick","Male",NA,"NO","3rd Class"
"950","Lang, Mr. Fang","Male",26,"YES","3rd Class"
"951","Larsson, Mr. August Viktor","Male",29,"NO","3rd Class"
"952","Larsson, Mr. Bengt Edvin","Male",29,"NO","3rd Class"
"953","Larsson-Rondberg, Mr. Edvard A","Male",22,"NO","3rd Class"
"954","Leeni, Mr. Fahim (""Philip Zenni"")","Male",22,"YES","3rd Class"
"955","Lefebre, Master. Henry Forbes","Male",NA,"NO","3rd Class"
"956","Lefebre, Miss. Ida","Female",NA,"NO","3rd Class"
"957","Lefebre, Miss. Jeannie","Female",NA,"NO","3rd Class"
"958","Lefebre, Miss. Mathilde","Female",NA,"NO","3rd Class"
"959","Lefebre, Mrs. Frank (Frances)","Female",NA,"NO","3rd Class"
"960","Leinonen, Mr. Antti Gustaf","Male",32,"NO","3rd Class"
"961","Lemberopolous, Mr. Peter L","Male",34,"NO","3rd Class"
"962","Lennon, Miss. Mary","Female",NA,"NO","3rd Class"
"963","Lennon, Mr. Denis","Male",NA,"NO","3rd Class"
"964","Leonard, Mr. Lionel","Male",36,"NO","3rd Class"
"965","Lester, Mr. James","Male",39,"NO","3rd Class"
"966","Lievens, Mr. Rene Aime","Male",24,"NO","3rd Class"
"967","Lindahl, Miss. Agda Thorilda Viktoria","Female",25,"NO","3rd Class"
"968","Lindblom, Miss. Augusta Charlotta","Female",45,"NO","3rd Class"
"969","Lindell, Mr. Edvard Bengtsson","Male",36,"NO","3rd Class"
"970","Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)","Female",30,"NO","3rd Class"
"971","Lindqvist, Mr. Eino William","Male",20,"YES","3rd Class"
"972","Linehan, Mr. Michael","Male",NA,"NO","3rd Class"
"973","Ling, Mr. Lee","Male",28,"NO","3rd Class"
"974","Lithman, Mr. Simon","Male",NA,"NO","3rd Class"
"975","Lobb, Mr. William Arthur","Male",30,"NO","3rd Class"
"976","Lobb, Mrs. William Arthur (Cordelia K Stanlick)","Female",26,"NO","3rd Class"
"977","Lockyer, Mr. Edward","Male",NA,"NO","3rd Class"
"978","Lovell, Mr. John Hall (""Henry"")","Male",20,"NO","3rd Class"
"979","Lulic, Mr. Nikola","Male",27,"YES","3rd Class"
"980","Lundahl, Mr. Johan Svensson","Male",51,"NO","3rd Class"
"981","Lundin, Miss. Olga Elida","Female",23,"YES","3rd Class"
"982","Lundstrom, Mr. Thure Edvin","Male",32,"YES","3rd Class"
"983","Lyntakoff, Mr. Stanko","Male",NA,"NO","3rd Class"
"984","MacKay, Mr. George William","Male",NA,"NO","3rd Class"
"985","Madigan, Miss. Margaret ""Maggie""","Female",NA,"YES","3rd Class"
"986","Madsen, Mr. Fridtjof Arne","Male",24,"YES","3rd Class"
"987","Maenpaa, Mr. Matti Alexanteri","Male",22,"NO","3rd Class"
"988","Mahon, Miss. Bridget Delia","Female",NA,"NO","3rd Class"
"989","Mahon, Mr. John","Male",NA,"NO","3rd Class"
"990","Maisner, Mr. Simon","Male",NA,"NO","3rd Class"
"991","Makinen, Mr. Kalle Edvard","Male",29,"NO","3rd Class"
"992","Mamee, Mr. Hanna","Male",NA,"YES","3rd Class"
"993","Mangan, Miss. Mary","Female",30,"NO","3rd Class"
"994","Mannion, Miss. Margareth","Female",NA,"YES","3rd Class"
"995","Mardirosian, Mr. Sarkis","Male",NA,"NO","3rd Class"
"996","Markoff, Mr. Marin","Male",35,"NO","3rd Class"
"997","Markun, Mr. Johann","Male",33,"NO","3rd Class"
"998","Masselmani, Mrs. Fatima","Female",NA,"YES","3rd Class"
"999","Matinoff, Mr. Nicola","Male",NA,"NO","3rd Class"
"1000","McCarthy, Miss. Catherine ""Katie""","Female",NA,"YES","3rd Class"
"1001","McCormack, Mr. Thomas Joseph","Male",NA,"YES","3rd Class"
"1002","McCoy, Miss. Agnes","Female",NA,"YES","3rd Class"
"1003","McCoy, Miss. Alicia","Female",NA,"YES","3rd Class"
"1004","McCoy, Mr. Bernard","Male",NA,"YES","3rd Class"
"1005","McDermott, Miss. Brigdet Delia","Female",NA,"YES","3rd Class"
"1006","McEvoy, Mr. Michael","Male",NA,"NO","3rd Class"
"1007","McGovern, Miss. Mary","Female",NA,"YES","3rd Class"
"1008","McGowan, Miss. Anna ""Annie""","Female",15,"YES","3rd Class"
"1009","McGowan, Miss. Katherine","Female",35,"NO","3rd Class"
"1010","McMahon, Mr. Martin","Male",NA,"NO","3rd Class"
"1011","McNamee, Mr. Neal","Male",24,"NO","3rd Class"
"1012","McNamee, Mrs. Neal (Eileen O'Leary)","Female",19,"NO","3rd Class"
"1013","McNeill, Miss. Bridget","Female",NA,"NO","3rd Class"
"1014","Meanwell, Miss. (Marion Ogden)","Female",NA,"NO","3rd Class"
"1015","Meek, Mrs. Thomas (Annie Louise Rowley)","Female",NA,"NO","3rd Class"
"1016","Meo, Mr. Alfonzo","Male",55,"NO","3rd Class"
"1017","Mernagh, Mr. Robert","Male",NA,"NO","3rd Class"
"1018","Midtsjo, Mr. Karl Albert","Male",21,"YES","3rd Class"
"1019","Miles, Mr. Frank","Male",NA,"NO","3rd Class"
"1020","Mineff, Mr. Ivan","Male",24,"NO","3rd Class"
"1021","Minkoff, Mr. Lazar","Male",21,"NO","3rd Class"
"1022","Mionoff, Mr. Stoytcho","Male",28,"NO","3rd Class"
"1023","Mitkoff, Mr. Mito","Male",NA,"NO","3rd Class"
"1024","Mockler, Miss. Helen Mary ""Ellie""","Female",NA,"YES","3rd Class"
"1025","Moen, Mr. Sigurd Hansen","Male",25,"NO","3rd Class"
"1026","Moor, Master. Meier","Male",6,"YES","3rd Class"
"1027","Moor, Mrs. (Beila)","Female",27,"YES","3rd Class"
"1028","Moore, Mr. Leonard Charles","Male",NA,"NO","3rd Class"
"1029","Moran, Miss. Bertha","Female",NA,"YES","3rd Class"
"1030","Moran, Mr. Daniel J","Male",NA,"NO","3rd Class"
"1031","Moran, Mr. James","Male",NA,"NO","3rd Class"
"1032","Morley, Mr. William","Male",34,"NO","3rd Class"
"1033","Morrow, Mr. Thomas Rowan","Male",NA,"NO","3rd Class"
"1034","Moss, Mr. Albert Johan","Male",NA,"YES","3rd Class"
"1035","Moubarek, Master. Gerios","Male",NA,"YES","3rd Class"
"1036","Moubarek, Master. Halim Gonios (""William George"")","Male",NA,"YES","3rd Class"
"1037","Moubarek, Mrs. George (Omine ""Amenia"" Alexander)","Female",NA,"YES","3rd Class"
"1038","Moussa, Mrs. (Mantoura Boulos)","Female",NA,"YES","3rd Class"
"1039","Moutal, Mr. Rahamin Haim","Male",NA,"NO","3rd Class"
"1040","Mullens, Miss. Katherine ""Katie""","Female",NA,"YES","3rd Class"
"1041","Mulvihill, Miss. Bertha E","Female",24,"YES","3rd Class"
"1042","Murdlin, Mr. Joseph","Male",NA,"NO","3rd Class"
"1043","Murphy, Miss. Katherine ""Kate""","Female",NA,"YES","3rd Class"
"1044","Murphy, Miss. Margaret Jane","Female",NA,"YES","3rd Class"
"1045","Murphy, Miss. Nora","Female",NA,"YES","3rd Class"
"1046","Myhrman, Mr. Pehr Fabian Oliver Malkolm","Male",18,"NO","3rd Class"
"1047","Naidenoff, Mr. Penko","Male",22,"NO","3rd Class"
"1048","Najib, Miss. Adele Kiamie ""Jane""","Female",15,"YES","3rd Class"
"1049","Nakid, Miss. Maria (""Mary"")","Female",1,"YES","3rd Class"
"1050","Nakid, Mr. Sahid","Male",20,"YES","3rd Class"
"1051","Nakid, Mrs. Said (Waika ""Mary"" Mowad)","Female",19,"YES","3rd Class"
"1052","Nancarrow, Mr. William Henry","Male",33,"NO","3rd Class"
"1053","Nankoff, Mr. Minko","Male",NA,"NO","3rd Class"
"1054","Nasr, Mr. Mustafa","Male",NA,"NO","3rd Class"
"1055","Naughton, Miss. Hannah","Female",NA,"NO","3rd Class"
"1056","Nenkoff, Mr. Christo","Male",NA,"NO","3rd Class"
"1057","Nicola-Yarred, Master. Elias","Male",12,"YES","3rd Class"
"1058","Nicola-Yarred, Miss. Jamila","Female",14,"YES","3rd Class"
"1059","Nieminen, Miss. Manta Josefina","Female",29,"NO","3rd Class"
"1060","Niklasson, Mr. Samuel","Male",28,"NO","3rd Class"
"1061","Nilsson, Miss. Berta Olivia","Female",18,"YES","3rd Class"
"1062","Nilsson, Miss. Helmina Josefina","Female",26,"YES","3rd Class"
"1063","Nilsson, Mr. August Ferdinand","Male",21,"NO","3rd Class"
"1064","Nirva, Mr. Iisakki Antino Aijo","Male",41,"NO","3rd Class"
"1065","Niskanen, Mr. Juha","Male",39,"YES","3rd Class"
"1066","Nosworthy, Mr. Richard Cater","Male",21,"NO","3rd Class"
"1067","Novel, Mr. Mansouer","Male",28,"NO","3rd Class"
"1068","Nysten, Miss. Anna Sofia","Female",22,"YES","3rd Class"
"1069","Nysveen, Mr. Johan Hansen","Male",61,"NO","3rd Class"
"1070","O'Brien, Mr. Thomas","Male",NA,"NO","3rd Class"
"1071","O'Brien, Mr. Timothy","Male",NA,"NO","3rd Class"
"1072","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","Female",NA,"YES","3rd Class"
"1073","O'Connell, Mr. Patrick D","Male",NA,"NO","3rd Class"
"1074","O'Connor, Mr. Maurice","Male",NA,"NO","3rd Class"
"1075","O'Connor, Mr. Patrick","Male",NA,"NO","3rd Class"
"1076","Odahl, Mr. Nils Martin","Male",23,"NO","3rd Class"
"1077","O'Donoghue, Ms. Bridget","Female",NA,"NO","3rd Class"
"1078","O'Driscoll, Miss. Bridget","Female",NA,"YES","3rd Class"
"1079","O'Dwyer, Miss. Ellen ""Nellie""","Female",NA,"YES","3rd Class"
"1080","Ohman, Miss. Velin","Female",22,"YES","3rd Class"
"1081","O'Keefe, Mr. Patrick","Male",NA,"YES","3rd Class"
"1082","O'Leary, Miss. Hanora ""Norah""","Female",NA,"YES","3rd Class"
"1083","Olsen, Master. Artur Karl","Male",9,"YES","3rd Class"
"1084","Olsen, Mr. Henry Margido","Male",28,"NO","3rd Class"
"1085","Olsen, Mr. Karl Siegwart Andreas","Male",42,"NO","3rd Class"
"1086","Olsen, Mr. Ole Martin","Male",NA,"NO","3rd Class"
"1087","Olsson, Miss. Elina","Female",31,"NO","3rd Class"
"1088","Olsson, Mr. Nils Johan Goransson","Male",28,"NO","3rd Class"
"1089","Olsson, Mr. Oscar Wilhelm","Male",32,"YES","3rd Class"
"1090","Olsvigen, Mr. Thor Anderson","Male",20,"NO","3rd Class"
"1091","Oreskovic, Miss. Jelka","Female",23,"NO","3rd Class"
"1092","Oreskovic, Miss. Marija","Female",20,"NO","3rd Class"
"1093","Oreskovic, Mr. Luka","Male",20,"NO","3rd Class"
"1094","Osen, Mr. Olaf Elon","Male",16,"NO","3rd Class"
"1095","Osman, Mrs. Mara","Female",31,"YES","3rd Class"
"1096","O'Sullivan, Miss. Bridget Mary","Female",NA,"NO","3rd Class"
"1097","Palsson, Master. Gosta Leonard","Male",2,"NO","3rd Class"
"1098","Palsson, Master. Paul Folke","Male",6,"NO","3rd Class"
"1099","Palsson, Miss. Stina Viola","Female",3,"NO","3rd Class"
"1100","Palsson, Miss. Torborg Danira","Female",8,"NO","3rd Class"
"1101","Palsson, Mrs. Nils (Alma Cornelia Berglund)","Female",29,"NO","3rd Class"
"1102","Panula, Master. Eino Viljami","Male",1,"NO","3rd Class"
"1103","Panula, Master. Juha Niilo","Male",7,"NO","3rd Class"
"1104","Panula, Master. Urho Abraham","Male",2,"NO","3rd Class"
"1105","Panula, Mr. Ernesti Arvid","Male",16,"NO","3rd Class"
"1106","Panula, Mr. Jaako Arnold","Male",14,"NO","3rd Class"
"1107","Panula, Mrs. Juha (Maria Emilia Ojala)","Female",41,"NO","3rd Class"
"1108","Pasic, Mr. Jakob","Male",21,"NO","3rd Class"
"1109","Patchett, Mr. George","Male",19,"NO","3rd Class"
"1110","Paulner, Mr. Uscher","Male",NA,"NO","3rd Class"
"1111","Pavlovic, Mr. Stefo","Male",32,"NO","3rd Class"
"1112","Peacock, Master. Alfred Edward","Male",0,"NO","3rd Class"
"1113","Peacock, Miss. Treasteall","Female",3,"NO","3rd Class"
"1114","Peacock, Mrs. Benjamin (Edith Nile)","Female",26,"NO","3rd Class"
"1115","Pearce, Mr. Ernest","Male",NA,"NO","3rd Class"
"1116","Pedersen, Mr. Olaf","Male",NA,"NO","3rd Class"
"1117","Peduzzi, Mr. Joseph","Male",NA,"NO","3rd Class"
"1118","Pekoniemi, Mr. Edvard","Male",21,"NO","3rd Class"
"1119","Peltomaki, Mr. Nikolai Johannes","Male",25,"NO","3rd Class"
"1120","Perkin, Mr. John Henry","Male",22,"NO","3rd Class"
"1121","Persson, Mr. Ernst Ulrik","Male",25,"YES","3rd Class"
"1122","Peter, Master. Michael J","Male",NA,"YES","3rd Class"
"1123","Peter, Miss. Anna","Female",NA,"YES","3rd Class"
"1124","Peter, Mrs. Catherine (Catherine Rizk)","Female",NA,"YES","3rd Class"
"1125","Peters, Miss. Katie","Female",NA,"NO","3rd Class"
"1126","Petersen, Mr. Marius","Male",24,"NO","3rd Class"
"1127","Petranec, Miss. Matilda","Female",28,"NO","3rd Class"
"1128","Petroff, Mr. Nedelio","Male",19,"NO","3rd Class"
